Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Exemptions,Exemptions start date,Mandatory Reliefs,Mandatory Relief Start Date,Pub Relief,Additional Relief,Revaluation Relief,Supporting Small Business Relief
13798,,"Unit 25, Commerce Court, Challenge Way, Bradford, BD4 8NW",BD4 8NW,53.78289,-1.71643,1995-07-24,2325,IF3,WORKSHOP AND PREMISES,2015-07-20,Y,,,Small Business Rate Relief,2015-07-20,,,,
13802,,"Unit 25, Mount Street, Bradford, BD4 8TA",BD4 8TA,53.78814,-1.72870,1990-04-01,14250,CW,WAREHOUSE AND PREMISES,1999-09-01,Y,,,,,,,,
13804,,"576b, Sticker Lane, Bradford, BD4 8RD",BD4 8RD,53.77776,-1.72434,1990-04-01,7800,CG1,VEHICLE REPAIR WORKSHOP AND PREMISES,2001-02-22,Y,,,Small Business Rate Relief,2007-04-01,,,,
13812,Great Horton Working Mens Club,"7, Harris Court, Bradford, BD7 4EQ",BD7 4EQ,53.77961,-1.78563,1990-04-01,8600,CL2,,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
13813,Reevy Hill Primary Academy School,"Reevy Hill Primary School, Bedale Drive, Bradford, BD6 3ST",BD6 3ST,53.76825,-1.79625,1990-04-01,53500,EL,,2016-11-01,Y,,,Mandatory Relief,2016-11-01,,,,
13815,Tranquilgarden Limited,"4-6, Clayton Lane, Bradford, BD5 0RA",BD5 0RA,53.78352,-1.75684,1990-04-01,16500,CL2,CLUB AND PREMISES,2018-05-02,Y,,,,,,,,
13816,Busfeild Arms Llp,"Busfeild Arms, Main Road, East Morton, Keighley, BD20 5SP",BD20 5SP,53.87342,-1.85154,1990-04-01,40500,CL,,2010-07-05,Y,,,,,Yes,,,
13819,The Rail Yard Limited,"32, Wellington Street, Bingley, BD16 2NB",BD16 2NB,53.84836,-1.83786,1990-09-25,4500,CS,BAR AND PREMISES,2016-10-28,Y,,,Small Business Rate Relief,2016-10-28,,,,
13830,,"372, Girlington Road, Bradford, BD8 9PA",BD8 9PA,53.80462,-1.78841,1990-04-01,2700,CS,SHOP AND PREMISES,2014-12-01,Y,,,Small Business Rate Relief,2015-03-01,,,,
13832,,"1st Floor, Textile Hall, Westgate, Bradford, BD1 2RD",BD1 2RD,53.79630,-1.75980,1994-02-20,10250,CL2,SNOOKER CLUB AND PREMISES,2015-10-16,Y,,,Small Business Rate Relief,2016-07-04,,,,
13833,,"First Floor Store No 29, Kirkgate Market, Kirkgate, Bradford, BD1 1SZ",BD1 1SZ,53.79402,-1.75550,1990-04-01,570,CW3,STORE,2017-05-15,Y,,,Small Business Rate Relief,2017-05-15,,,,
13836,Rawson Quarter Llp,"Car Park Space No 7, Arndale House, Market Street, Bradford, BD1 1LN",BD1 1LN,53.79418,-1.75184,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2011-11-29,,Rateable Value,2014-04-22,,,,,,
13837,,"1, Morningside, Bradford, BD8 8QR",BD8 8QR,53.80579,-1.77698,1990-04-01,5000,CS,SHOP AND PREMISES,1998-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
13839,,"1-3, Little Horton Lane, Bradford, BD5 0AA",BD5 0AA,53.79082,-1.75645,1990-04-01,13250,CS,,2018-08-01,Y,,,Small Business Rate Relief,2018-08-01,,,,
13840,,"5, Southbrook Terrace, Bradford, BD7 1AB",BD7 1AB,53.79120,-1.76001,1990-04-01,8100,CO,OFFICES AND PREMISES,2009-11-06,,Listed Building,2016-05-01,,,,,,
13841,,"3rd Floor Building 1, Cannon Mills, Union Road, Bradford, BD7 3HW",BD7 3HW,53.78466,-1.78146,1990-04-01,6300,CW,WAREHOUSE AND PREMISES,1998-11-21,,Listed Building,1998-11-21,,,,,,
13843,Cls Identification Limited,"Unit 10, West Bradford Industrial Park, Barnes Road, Bradford, BD8 9TG",BD8 9TG,53.79788,-1.79090,1990-04-01,8700,CW,WAREHOUSE AND PREMISES,2008-06-25,Y,,,,,,,,
13848,Burley-In-Wharfedale Parish Council,"Queens Hall, Main Street, Burley In Wharfedale, Ilkley, LS29 7BT",LS29 7BT,53.91351,-1.74747,1996-08-20,10500,LC3,HALL AND PREMISES,2017-04-01,Y,,,,,,,,
13855,,"St Leonards Farm, 16, Church Lane, Esholt, Shipley, BD17 7RA",BD17 7RA,53.85752,-1.72477,1995-07-28,4800,LX,FARM PARK,1995-07-28,Y,,,Small Business Rate Relief,2007-04-01,,,,
13856,,"Ground Floor, 6-8, Albion Road, Idle, Bradford, BD10 9PY",BD10 9PY,53.83474,-1.72893,1990-04-01,9000,CS,SHOP AND PREMISES,2018-09-10,Y,,,Small Business Rate Relief,2018-09-10,,,,
13859,,"Unit 24, Commerce Court, Challenge Way, Bradford, BD4 8NW",BD4 8NW,53.78289,-1.71643,1995-08-02,2225,IF3,WORKSHOP AND PREMISES,2016-12-01,Y,,,Small Business Rate Relief,2016-12-01,,,,
13860,Bradford Grinders (U.K.) Limited,"Bradford Grinders Uk Ltd, Mount Street, Bradford, BD3 9SN",BD3 9SN,53.79065,-1.73568,1990-04-01,35750,IF,FACTORY AND PREMISES,1990-04-01,Y,,,,,,,,
13861,,"6, Essex Street, Bradford, BD4 7PG",BD4 7PG,53.78872,-1.73967,1990-04-01,9600,CW,,2014-04-05,Y,,,Small Business Rate Relief,2014-04-05,,,,
13865,,"127, East Parade, Keighley, BD21 5HX",BD21 5HX,53.86703,-1.90433,1990-04-01,3650,CS,SHOP AND PREMISES,2017-04-12,Y,,,Small Business Rate Relief,2017-05-01,,,,
13867,,"82, Main Street, Haworth, Keighley, BD22 8DP",BD22 8DP,53.83115,-1.95536,1990-04-01,6200,CS,SHOP AND PREMISES,2010-04-01,Y,,,Small Business Rate Relief,2010-04-01,,,,
13871,Ihhm Ltd,"87-91, Fair Road, Bradford, BD6 1TD",BD6 1TD,53.76724,-1.77972,1990-04-01,14250,CS,SHOP AND PREMISES,2015-08-28,Y,,,Small Business Rate Relief,2017-04-01,,,,
13874,,"84, Raymond Street, Bradford, BD5 8DT",BD5 8DT,53.77203,-1.75715,1995-03-23,1200,CO,OFFICES AND PREMISES,2008-11-14,Y,,,Small Business Rate Relief,2010-04-01,,,,
13876,,"861, Manchester Road, Bradford, BD5 8LT",BD5 8LT,53.76873,-1.76214,1990-04-01,2600,CS,SHOP AND PREMISES,2006-07-15,Y,,,Small Business Rate Relief,2007-04-01,,,,
13877,,"113, Main Street, Bingley, BD16 2HT",BD16 2HT,53.84824,-1.83806,1990-09-25,11750,CS,,2014-11-25,Y,,,Small Business Rate Relief,2017-04-01,,,,
13879,,"Bst, 1-1a, Halifax Road, Cullingworth, Bradford, BD13 5DD",BD13 5DD,53.82525,-1.89888,1990-04-01,2275,CW3,STORE AND PREMISES,2011-09-01,Y,,,,,,,,
13883,Affinity Trust,"Unit 9, Park View Court, St Pauls Road, Shipley, BD18 3DZ",BD18 3DZ,53.83193,-1.78263,1990-04-01,11000,CO,,2011-12-05,Y,,,Mandatory Relief,2011-12-05,,,,
13886,,"199, Manningham Lane, Bradford, BD8 7HP",BD8 7HP,53.80397,-1.76246,1990-04-01,6300,CS,SHOP AND PREMISES,2014-07-09,Y,,,Small Business Rate Relief,2014-09-27,,,,
13888,,"223, Wrose Road, Bradford, BD2 1PT",BD2 1PT,53.82642,-1.74796,1990-04-01,4950,CS,SHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
13895,Rawson Quarter Llp,"Car Park Space No 6, Arndale House, Market Street, Bradford, BD1 1LN",BD1 1LN,53.79418,-1.75184,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2011-11-29,,Rateable Value,2014-04-22,,,,,,
13907,,"6-8, Aire View, Silsden, BD20 0AN",BD20 0AN,53.91285,-1.93971,1990-04-01,3350,CS,SHOP AND PREMISES,1993-05-21,Y,,,Small Business Rate Relief,2007-04-01,,,,
13908,Jolly Tots Pre-School Nursery Ltd,"Play Group, Queens Hall, Main Street, Burley In Wharfedale, Ilkley, LS29 7BT",LS29 7BT,53.91351,-1.74747,1996-08-20,14750,EN1,DAY NURSERY AND PREMISES,1996-08-20,Y,,,Small Business Rate Relief,2017-04-01,,,,
13911,,"31, Railway Road, Ilkley, LS29 8HP",LS29 8HP,53.92513,-1.82002,1990-04-01,7200,CS,SHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
13914,,"21, Main Street, Esholt, Shipley, BD17 7QZ",BD17 7QZ,53.85834,-1.72405,1990-04-01,2950,CS,SHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
13915,,"107, Ravenscliffe Avenue, Bradford, BD10 0JJ",BD10 0JJ,53.81820,-1.71083,1990-04-01,5800,CS,,2017-12-22,Y,,,Small Business Rate Relief,2017-12-22,,,,
13917,Kfc Services (Bradford) Limited,"Unit 23, Commerce Court, Challenge Way, Bradford, BD4 8NW",BD4 8NW,53.78289,-1.71643,1995-07-25,2650,IF3,WORKSHOP AND PREMISES,2007-03-05,Y,,,Small Business Rate Relief,2007-04-01,,,,
13918,Cemex Uk Operations Ltd,"Cemex Ready Mix, Mount Street, Bradford, BD3 9SN",BD3 9SN,53.79065,-1.73568,1990-04-01,30250,IM3,,1990-04-01,Y,,,,,,,,
13923,Mcgowan Signs Limited,"Workshop And Premises, Marriner Road, Keighley, BD21 5LW",BD21 5LW,53.86169,-1.90874,1990-04-01,8300,IF3,WORKSHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
13925,,"Rear Of, 72, Haworth Road, Cross Roads, Keighley, BD22 9DL",BD22 9DL,53.83526,-1.93495,1990-04-01,1425,IF3,WORKSHOP AND PREMISES,2018-03-30,,Rateable Value,2018-03-30,,,,,,
13926,,"212, Beacon Road, Bradford, BD6 3EJ",BD6 3EJ,53.76922,-1.78940,1990-04-01,4600,CG1,VEHICLE REPAIR WORKSHOP AND PREMISES,2013-12-02,Y,,,Small Business Rate Relief,2013-12-02,,,,
13931,,"374, Manchester Road, Bradford, BD5 7RA",BD5 7RA,53.78398,-1.75623,1990-04-01,5300,CS,SHOP AND PREMISES,2005-08-09,Y,,,Small Business Rate Relief,2007-04-01,,,,
13934,Halifax Road Limited,"654, Halifax Road, Bradford, BD6 2EA",BD6 2EA,53.75846,-1.79561,1990-04-01,6600,CS,SHOP AND PREMISES,2017-11-01,Y,,,Small Business Rate Relief,2017-11-01,,,,
13935,Dargan Properties Llp,"23, Myrtle Place, Bingley, BD16 2LF",BD16 2LF,53.84710,-1.83960,1990-04-01,40500,EN1,,2011-08-01,Y,,,,,,,,
13941,Farfield Nursery Limited,"Farfield Nursery School, Farfield Road, Shipley, BD18 4QP",BD18 4QP,53.83220,-1.78840,1990-04-01,9800,EN1,,2009-03-16,Y,,,Small Business Rate Relief,2017-04-01,,,,
13942,,"Car Park Rear Of, Cavendish Court, Lawkholme Lane, Keighley, BD21 3DY",BD21 3DY,53.86891,-1.90656,1992-12-01,7500,CP,CAR PARK AND PREMISES,1994-04-01,Y,,,,,,,,
13943,,"19b, Briggate, Shipley, BD17 7BP",BD17 7BP,53.83474,-1.77444,1990-04-01,2250,IF3,WORKSHOP AND PREMISES,2013-07-29,Y,,,Small Business Rate Relief,2013-07-29,,,,
13949,,"Basement Store No 9, Kirkgate Market, Kirkgate, Bradford, BD1 1SZ",BD1 1SZ,53.79402,-1.75550,1990-04-01,530,CW3,STORE,2012-06-01,Y,,,,,,,,
13950,,"9, North Street, Keighley, BD21 3SL",BD21 3SL,53.86618,-1.90991,1990-04-01,6600,CS,SHOP AND PREMISES,2017-01-22,Y,,,Small Business Rate Relief,2017-01-22,,,,
13952,Rawson Quarter Llp,"Car Park Space No 5, Arndale House, Market Street, Bradford, BD1 1LN",BD1 1LN,53.79418,-1.75184,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2011-11-29,,Rateable Value,2014-04-22,,,,,,
13958,,"65, Victoria Road, Keighley, BD21 1JB",BD21 1JB,53.86111,-1.91595,1990-04-01,4650,CS,SHOP AND PREMISES,2006-01-28,Y,,,,,,,,
13960,,"15, Ivegate, Bradford, BD1 1SQ",BD1 1SQ,53.79385,-1.75447,1990-04-01,10000,CS,,2018-01-01,Y,,,Small Business Rate Relief,2018-01-01,,,,
13967,Bradford MDC,"Car Park At, Railway Road, Ilkley, LS29 8HP",LS29 8HP,53.92513,-1.82002,1992-04-01,3450,CP,CAR PARK AND PREMISES,1992-04-01,Y,,,,,,,,
13971,Communication Technologies Uk Ltd,"Unit 22, Commerce Court, Challenge Way, Bradford, BD4 8NW",BD4 8NW,53.78289,-1.71643,1995-07-13,4050,IF3,WORKSHOP AND PREMISES,2014-08-01,Y,,,Small Business Rate Relief,2014-08-01,,,,
13976,A1 Meat & Poultry Ltd,"A 1 Building, Mount Street, Bradford, BD3 9SN",BD3 9SN,53.79065,-1.73568,1990-04-01,17500,CW,,2017-04-01,Y,,,,,,,,
13980,Kirkwood Hospice,"Unit 2, Titan Shopping Centre, Town Gate Wyke, Bradford, BD12 9JF",BD12 9JF,53.73868,-1.76827,1990-04-01,9200,CS,SHOP AND PREMISES,2015-11-17,Y,,,Mandatory Relief,2015-11-17,,,,
13982,Ashmount Hospitality Ltd,"Ashmount, Mytholmes Lane, Haworth, Keighley, BD22 8EZ",BD22 8EZ,53.83416,-1.95148,1996-03-06,10750,CH2,GUEST HOUSE AND PREMISES,2017-07-03,Y,,,Small Business Rate Relief,2017-07-03,,,,
13983,,"Store At, Bridgehouse Farm, Surgery Street, Haworth, Keighley, BD22 8NX",BD22 8NX,53.82840,-1.94772,1990-04-01,4550,CW3,STORE AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
13984,,"210, Beacon Road, Bradford, BD6 3EJ",BD6 3EJ,53.76922,-1.78940,1990-04-01,3550,CG1,VEHICLE REPAIR WORKSHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
13985,Northern Gas Networks Limited,"2nd Floor, West Wing, Cumberland House, Greenside Lane, Bradford, BD8 9TF",BD8 9TF,53.79659,-1.79257,1990-04-01,17000,CO,OFFICES AND PREMISES,2017-08-09,Y,,,,,,,,
13986,,"202, Hollingwood Lane, Bradford, BD7 4BJ",BD7 4BJ,53.77943,-1.80019,1990-04-01,4150,CS,,2001-05-01,Y,,,Small Business Rate Relief,2010-04-01,,,,
13988,Hindle Controls Limited,"89, Caledonia Street, Bradford, BD5 0EN",BD5 0EN,53.78759,-1.75162,1991-04-01,13500,IF3,WORKSHOP AND PREMISES,2017-12-01,Y,,,,,,,,
13993,Stentorgate Limited,"Stentorgate Ltd, Beech Grove, Eldwick, Bingley, BD16 3EG",BD16 3EG,53.85851,-1.81628,1990-04-01,5100,CO,OFFICES AND PREMISES,2000-01-17,Y,,,Small Business Rate Relief,2007-04-01,,,,
13994,,"Shop, Crownest Road, Bingley, BD16 4PS",BD16 4PS,53.84873,-1.82827,1990-04-01,2550,CS,SHOP AND PREMISES,2005-05-13,Y,,,Small Business Rate Relief,2007-04-01,,,,
13995,Yorkshire Water Services Ltd,"Sewage Disposal Works, Haworth Road, Cullingworth, Bradford, BD13 5BD",BD13 5BD,53.82310,-1.89595,1990-04-01,4650,NW,SEWAGE TREATMENT WORKS AND PREMISES,1990-04-01,Y,,,,,,,,
13996,Bradford MDC,"St Matthews Rc First School, Saffron Drive, Allerton, Bradford, BD15 7NE",BD15 7NE,53.79981,-1.82109,1990-04-01,36750,EL,,1990-04-01,Y,,,Mandatory Relief,1998-04-01,,,,
13998,,"Basement And Part Ground Floor, 69-71, Bradford Road, Shipley, BD18 3DT",BD18 3DT,53.83021,-1.78206,1995-06-01,5500,CO,OFFICES AND PREMISES,2016-01-01,Y,,,Small Business Rate Relief,2016-01-01,,,,
14003,Shoe Zone Plc,"4, Well Croft, Shipley, BD18 3QH",BD18 3QH,53.83284,-1.77881,1990-04-01,20750,CS,SHOP AND PREMISES,1990-04-01,Y,,,,,,,,
14007,,"Basement Store No 20, Kirkgate Market, Kirkgate, Bradford, BD1 1SZ",BD1 1SZ,53.79402,-1.75550,1990-04-01,600,CW3,STORE,1990-04-01,Y,,,,,,,,
14008,,"5, Chapel Lane, Keighley, BD21 2AJ",BD21 2AJ,53.86607,-1.91087,1990-04-01,4350,CO,OFFICES AND PREMISES,2014-12-16,,Listed Building,2014-12-16,,,,,,
14010,Pinnacle (Bradford) Limited,"Car Park Space No 4, Arndale House, Market Street, Bradford, BD1 1LN",BD1 1LN,53.79418,-1.75184,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2015-07-20,,Rateable Value,2015-07-20,,,,,,
14014,Panther Investment Properties Limited,"Ground Floor, 34, Darley Street, Bradford, BD1 3HN",BD1 3HN,53.79616,-1.75500,1990-04-01,16250,CS,SHOP AND PREMISES,2002-07-09,,Listed Building,2017-04-26,,,,,,
14017,The A & S Leisure Group Limited,"Health Ctr 1st And 2nd Floors, 37, Bolton Road, Bradford, BD1 4DR",BD1 4DR,53.79693,-1.74876,1990-04-01,14000,LX,FITNESS CENTRE AND PREMISES,2002-05-26,Y,,,,,,,,
14018,Hays Travel Limited,"52, Kirkgate, Bradford, BD1 1QT",BD1 1QT,53.79461,-1.75456,1990-04-01,36250,CS,SHOP AND PREMISES,2015-11-03,Y,,,,,,,,
14021,,"499, Otley Road, Bradford, BD2 4QL",BD2 4QL,53.80875,-1.73027,1990-04-01,3900,CS,SHOP AND PREMISES,2016-12-06,Y,,,Small Business Rate Relief,2016-12-06,,,,
14025,Virtual College Limited,"2, Springs Pavement, Springs Lane, Ilkley, LS29 8HD",LS29 8HD,53.92440,-1.81975,1996-06-03,11000,CS,SHOP AND PREMISES,2017-09-30,Y,,,,,,,,
14026,Spauls & Sons (Butchers) Limited,"126, Main Street, Burley In Wharfedale, Ilkley, LS29 7JP",LS29 7JP,53.91449,-1.75191,1990-04-01,3050,CS,SHOP AND PREMISES,2014-04-01,Y,,,Small Business Rate Relief,2014-04-01,,,,
14030,Sugden Properties Limited,"8, The Green, Idle, Bradford, BD10 9PR",BD10 9PR,53.83523,-1.73097,1990-04-01,7400,CS,,2012-12-01,Y,,,,,,,,
14032,,"1350, Leeds Road, Bradford, BD3 8NB",BD3 8NB,53.79573,-1.71315,1990-04-01,18500,CS,,2018-07-16,Y,,,,,,,,
14033,Mann Car Parts Limited,"Unit 21, Commerce Court, Challenge Way, Bradford, BD4 8NW",BD4 8NW,53.78289,-1.71643,1995-07-18,4600,IF3,WORKSHOP AND PREMISES,2017-07-01,Y,,,Small Business Rate Relief,2017-07-01,,,,
14034,Glidefield Limited,"Warehouse And Premises, Mount Street, Bradford, BD3 9SR",BD3 9SR,53.79027,-1.73253,1990-04-01,85000,CW,,2002-04-01,Y,,,,,,,,
14037,,"1, The Parade, Bradford, BD4 9HN",BD4 9HN,53.77859,-1.71154,1990-04-01,1850,CS,SHOP AND PREMISES,2009-04-06,Y,,,Small Business Rate Relief,2009-04-06,,,,
14038,West Yorkshire Fire & Rescue Service,"Fire Station, Huddersfield Road, Odsal, Bradford, BD6 1DJ",BD6 1DJ,53.76184,-1.76217,1990-04-01,46500,MS1,FIRE STATION AND PREMISES,1990-04-01,Y,,,,,,,,
14042,,"208, Beacon Road, Bradford, BD6 3EJ",BD6 3EJ,53.76922,-1.78940,1990-04-01,4900,CG1,VEHICLE REPAIR WORKSHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
14044,,"8-12, Clayton Road, Bradford, BD7 2LT",BD7 2LT,53.78705,-1.79001,1990-04-01,12500,CR,RESTAURANT AND PREMISES,2015-06-15,Y,,,Small Business Rate Relief,2017-04-01,,,,
14045,,"2b, Mill Street, Wibsey, Bradford, BD6 3BQ",BD6 3BQ,53.76876,-1.78523,1990-04-01,2250,CS,,2012-09-01,Y,,,Small Business Rate Relief,2012-10-05,,,,
14047,,"Currer Laithe, Thwaites Brow Road, Keighley, BD21 4SL",BD21 4SL,53.86108,-1.87722,1990-04-01,12000,CH1,,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
14048,Walker And Holmes Limited In Liquidation,"Workshop And Premises, Linton Street, Bradford, BD4 7EZ",BD4 7EZ,53.78374,-1.74550,1990-04-01,19000,IF,FACTORY AND PREMISES,1990-04-01,Y,,,,,,,,
14057,Anchor Trust,"The Anchorage, 47, Westcliffe Road, Shipley, BD18 3DX",BD18 3DX,53.83124,-1.78092,1992-04-01,9100,LC3,HALL AND PREMISES,1992-04-01,Y,,,Mandatory Relief,1998-04-01,,,,
14061,Halfway Auctions Ltd,"107-108, Dockfield Road, Shipley, BD17 7AD",BD17 7AD,53.83700,-1.76906,1990-04-01,31000,IF,FACTORY AND PREMISES,2013-12-01,Y,,,,,,,,
14062,Gourmet Europe Manufacturing Limited,"41-43, Duckworth Lane, Bradford, BD9 5ET",BD9 5ET,53.80565,-1.79006,1990-04-01,10000,CS,SHOP AND PREMISES,2015-06-24,Y,,,Small Business Rate Relief,2015-06-24,,,,
14066,,"Basement Store No 19, Kirkgate Market, Kirkgate, Bradford, BD1 1SZ",BD1 1SZ,53.79402,-1.75550,1990-04-01,600,CW3,STORE,1990-04-01,Y,,,,,,,,
14068,Rawson Quarter Llp,"Car Park Space No3, Arndale House, Market Street, Bradford, BD1 1LN",BD1 1LN,53.79418,-1.75184,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2011-11-29,,Rateable Value,2013-12-17,,,,,,
14069,Muniment Bradford Developments Ltd,"Car Park Adj, 139, Sunbridge Road, Bradford, BD1 2PF",BD1 2PF,53.79481,-1.76067,1990-04-01,3750,CP,CAR PARK AND PREMISES,2015-04-24,Y,,,,,,,,
14077,S N Corporation Ltd,"Office 1 2nd Floor, Tradeforce Building, Cornwall Place, Bradford, BD8 7JT",BD8 7JT,53.80293,-1.75996,1992-04-01,1075,CO,OFFICES AND PREMISES,2016-01-18,Y,,,Small Business Rate Relief,2016-01-18,,,,
14079,,"College Mill, Barkerend Road, Bradford, BD1 4AU",BD1 4AU,53.79613,-1.74512,1990-04-01,20000,CW,WAREHOUSE AND PREMISES,2015-12-12,,Listed Building,2015-12-12,,,,,,
14085,,"The Studio, Leathley Road, Menston, Ilkley, LS29 6DP",LS29 6DP,53.88949,-1.73170,1990-04-01,3600,IF3,WORKSHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
14091,,"Unit 20, Commerce Court, Challenge Way, Bradford, BD4 8NW",BD4 8NW,53.78289,-1.71643,1995-07-13,4450,IF3,WORKSHOP AND PREMISES,2017-05-08,Y,,,Small Business Rate Relief,2017-06-08,,,,
14092,G4s Cash Solutions (Uk) Ltd,"7, Mount Street, Bradford, BD3 9SW",BD3 9SW,53.78988,-1.73296,1990-04-01,62500,CO,OFFICES AND PREMISES,1990-04-01,Y,,,,,,,,
14096,,"38, Kelmore Grove, Bradford, BD6 2RE",BD6 2RE,53.75645,-1.79759,1990-04-01,7700,CS,SHOP AND PREMISES,2013-09-21,Y,,,Small Business Rate Relief,2016-04-24,,,,
14099,,"19, Mill Hey, Haworth, Keighley, BD22 8NQ",BD22 8NQ,53.83177,-1.94777,1990-04-01,2750,CS,SHOP AND PREMISES,2002-12-09,Y,,,Small Business Rate Relief,2007-04-01,,,,
14103,,"41, Orleans Street, Bradford, BD6 2EJ",BD6 2EJ,53.75970,-1.79568,1990-04-01,4500,CS,,2017-02-21,Y,,,Small Business Rate Relief,2017-02-21,,,,
14108,,"Advert Board No 841 At, 672, Halifax Road, Bradford, BD6 2HD",BD6 2HD,53.75819,-1.79772,1990-04-01,305,CA,ADVERTISING RIGHT AND PREMISES,2011-06-30,Y,,,Small Business Rate Relief,2011-06-30,,,,
14110,Cardamon Bradford Limited,"102, Main Street, Bingley, BD16 2JH",BD16 2JH,53.85012,-1.84016,1990-04-01,8900,CR,RESTAURANT AND PREMISES,2014-04-01,Y,,,Small Business Rate Relief,2014-04-01,,,,
14112,Thornton Cricket Club,"Sports Ground, Hill Top Road, Thornton, Bradford, BD13 3QX",BD13 3QX,53.79444,-1.85986,1990-04-01,6500,LS,,1990-04-01,Y,,,Small Business Rate Relief,2010-04-01,,,,
14120,,"108, Toller Lane, Bradford, BD9 5DR",BD9 5DR,53.80712,-1.78915,1990-04-01,8600,CS,SHOP AND PREMISES,1997-08-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
14123,Bradford MDC,"Basement Store No 18, Kirkgate Market, Kirkgate, Bradford, BD1 1SZ",BD1 1SZ,53.79402,-1.75550,1990-04-01,530,CW3,STORE,2016-06-01,,Rateable Value,2016-06-01,,,,,,
14125,,"1a, Pemberton Drive, Bradford, BD7 1RA",BD7 1RA,53.78914,-1.76441,1991-04-01,4450,CS,SHOP AND PREMISES,2012-08-23,,,,,,,,,
14126,Pinnacle (Bradford) Limited,"Car Park Space No 2, Arndale House, Market Street, Bradford, BD1 1LN",BD1 1LN,53.79418,-1.75184,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2015-07-20,,Rateable Value,2015-07-20,,,,,,
14129,,"38, Sunbridge Road, Bradford, BD1 2AA",BD1 2AA,53.79378,-1.75467,1990-04-01,11000,CS,SHOP AND PREMISES,2006-10-30,Y,,,Small Business Rate Relief,2007-04-01,,,,
14132,,"Albert Hotel, Bridge Street, Keighley, BD21 1AA",BD21 1AA,53.86510,-1.91072,1990-04-01,57000,CL,PUBLIC HOUSE AND PREMISES,2012-08-07,Y,,,,,Yes,,Yes,
14142,,"30, Leeds Road, Ilkley, LS29 8DS",LS29 8DS,53.92619,-1.82094,1990-04-01,8100,CS,SHOP AND PREMISES,2017-04-01,Y,,,Small Business Rate Relief,2017-04-01,,,,
14155,,"9, Devonshire Street, Keighley, BD21 2BH",BD21 2BH,53.86738,-1.91143,1990-04-01,7700,CO,HAIR SALON & PREMISES,2016-12-01,Y,,,Small Business Rate Relief,2016-12-01,,,,
14160,,"63, Spencer Road, Bradford, BD7 2HD",BD7 2HD,53.78583,-1.78410,1990-04-01,7500,IF3,TAXI OFFICE,1998-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
14162,Bradford City Academy,"College, Ripley Street, Bradford, BD5 7RR",BD5 7RR,53.78060,-1.75719,1990-09-11,500000,EP,SCHOOL AND PREMISES,1990-09-11,Y,,,Mandatory Relief,1998-04-01,,,,
14166,,"124, High Street, Wibsey, Bradford, BD6 1LS",BD6 1LS,53.76739,-1.77130,1990-04-01,3500,CS,SHOP AND PREMISES,2017-11-27,Y,,,Small Business Rate Relief,2017-11-27,,,,
14167,,"Unit A, Castlefields Industrial Estate, Castlefields Road, Bingley, BD16 2AG",BD16 2AG,53.86122,-1.85218,1990-10-01,17000,CW,WAREHOUSE AND PREMISES,2016-12-01,Y,,,,,,,,
14170,,"1, West Lane, Thornton, Bradford, BD13 3HX",BD13 3HX,53.79190,-1.85165,1990-04-01,3250,CS,SHOP AND PREMISES,2018-01-08,,,,,,,,,
14172,Cryotherm Insulation Limited,"Unit 29 & Pt Units 12,16 & 30, Hirst Wood Works, Hirst Wood Road, Shipley, BD18 4BU",BD18 4BU,53.83761,-1.80346,1990-04-01,40000,IF3,WORKSHOP AND PREMISES,1990-04-01,Y,,,,,,,,
14173,,"3, Cavendish Court, Lawkholme Lane, Keighley, BD21 3DY",BD21 3DY,53.86891,-1.90656,1992-11-23,3450,CS,SHOP AND PREMISES,2016-02-01,Y,,,Small Business Rate Relief,2016-02-01,,,,
