Primary Description Code,Default Description,PROPTYPE1 Description,PROPTYPE1 Broad Description,PROPTYPE1 Detailed Description,HMRC PROPTYPE1,PROPTYPE2 Description
MH,Surgery and premises,Miscellaneous-Medical facilities,Miscellaneous,Medical facilities,44,Other properties
MH1,Health Centre and premises,Miscellaneous-Medical facilities,Miscellaneous,Medical facilities,44,Other properties
MH2,Hospital and premises,Miscellaneous-Medical facilities,Miscellaneous,Medical facilities,44,Other properties
MH3,Hospital and premises,Miscellaneous-Medical facilities,Miscellaneous,Medical facilities,44,Other properties
ML,Offices and premises,Miscellaneous-Local government offices,Miscellaneous,Local government offices,45,Offices
MP,Police station and premises,Miscellaneous-Police stations & courts,Miscellaneous,Police stations & courts,46,Other properties
MP1,Law Court and premises,Miscellaneous-Police stations & courts,Miscellaneous,Police stations & courts,46,Other properties
MP2,Prison and premises,Miscellaneous-Police stations & courts,Miscellaneous,Police stations & courts,46,Other properties
MR,Hostel and premises,Miscellaneous-Hostels & homes,Miscellaneous,Hostels & homes,47,Other properties
MR1,Home and premises,Miscellaneous-Hostels & homes,Miscellaneous,Hostels & homes,47,Other properties
MS1,Fire Station and premises,Miscellaneous-Other properties,Miscellaneous,Other properties,48,Other properties
MS2,Ambulance Station premises,Miscellaneous-Other properties,Miscellaneous,Other properties,48,Other properties
MT1,Communication Station and premises,Miscellaneous-Other properties,Miscellaneous,Other properties,48,Other properties
MT2,Public Telephone Kiosk and premises,Miscellaneous-Other properties,Miscellaneous,Other properties,48,Other properties
MTX,Miscellaneous,Miscellaneous-Other properties,Miscellaneous,Other properties,48,Other properties
MX,Miscellaneous,Miscellaneous-Other properties,Miscellaneous,Other properties,48,Other properties
NT,Bus Station and premises,"Utilities-Bus stations, moorings etc.",Utilities,"Bus stations, moorings etc.",30,Other properties
NT1,Mooring and premises,"Utilities-Bus stations, moorings etc.",Utilities,"Bus stations, moorings etc.",30,Other properties
NT3,Wharf and premises,"Utilities-Bus stations, moorings etc.",Utilities,"Bus stations, moorings etc.",30,Other properties
NW,Sewage Treatment Works and premises,Utilities-Other utilities,Utilities,Other utilities,31,Other properties
NX,Miscellaneous,Utilities-Other utilities,Utilities,Other utilities,31,Other properties
TD1,Forces Careers Office and premises,Commercial-Offices,Commercial,Offices,7,Offices
TD2,Auxiliary Defence Establishment and premises,Miscellaneous-Other properties,Miscellaneous,Other properties,48,Other properties
TX,Miscellaneous,Miscellaneous-Other properties,Miscellaneous,Other properties,48,Other properties
